"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Next Sequence Number","This is an ACK to the segment in frame","Bytes in flight","Info"
"21","4.223785198","192.168.56.102","39294","192.168.56.101","80","TCP","66","1473","20","","39294  >  80 [ACK] Seq=1473 Ack=2043 Win=64128 Len=0 TSval=2622646155 TSecr=4294956467"
"22","8.141735196","192.168.56.1","5353","224.0.0.251","5353","MDNS","87","","","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"23","10.504428598","192.168.56.1","49499","239.255.255.250","1900","SSDP","167","","","","M-SEARCH * HTTP/1.1 "
"24","14.266811473","192.168.56.102","39294","192.168.56.101","80","TCP","66","1472","","","[TCP Keep-Alive] 39294  >  80 [ACK] Seq=1472 Ack=2043 Win=64128 Len=0 TSval=2622656198 TSecr=4294956467"
"25","14.267369744","192.168.56.101","80","192.168.56.102","39294","TCP","66","2043","","","[TCP Keep-Alive ACK] 80  >  39294 [ACK] Seq=2043 Ack=1473 Win=9216 Len=0 TSval=4294957471 TSecr=2622646155"
"26","15.436359856","192.168.56.102","39294","192.168.56.101","80","HTTP","428","1835","","362","GET /dav/ HTTP/1.1 "
"27","15.436692393","192.168.56.101","80","192.168.56.102","39294","TCP","66","2043","26","","80  >  39294 [ACK] Seq=2043 Ack=1835 Win=10432 Len=0 TSval=4294957588 TSecr=2622657368"
"28","15.438285556","192.168.56.101","80","192.168.56.102","39294","HTTP","1584","3561","","1518","HTTP/1.1 200 OK  (text/html)"
"29","15.438321563","192.168.56.102","39294","192.168.56.101","80","TCP","66","1835","28","","39294  >  80 [ACK] Seq=1835 Ack=3561 Win=63872 Len=0 TSval=2622657370 TSecr=4294957588"
"30","19.728761170","192.168.56.101","138","192.168.56.255","138","BROWSER","286","","","","Host Announcement METASPLOITABLE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Potential Browser"
"31","19.728761246","192.168.56.101","138","192.168.56.255","138","BROWSER","286","","","","Host Announcement METASPLOITABLE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Potential Browser"
"32","19.766607928","192.168.56.1","137","192.168.56.255","137","NBNS","92","","","","Name query NB WORKGROUP<1d>"
"33","19.820938484","192.168.56.1","51508","192.168.56.255","137","NBNS","92","","","","Name query NB METASPLOITABLE<20>"
"34","19.829649093","PCSSystemtec_e4:9f:6b","","Broadcast","","ARP","60","","","","Who has 192.168.56.1? Tell 192.168.56.101"
"35","19.829649193","PCSSystemtec_e4:9f:6b","","Broadcast","","ARP","60","","","","Who has 192.168.56.1? Tell 192.168.56.101"
"36","20.216435012","192.168.56.1","137","192.168.56.255","137","NBNS","92","","","","Name query NB WORKGROUP<1d>"
"37","25.088986808","192.168.56.102","39294","192.168.56.101","80","HTTP","446","2215","","380","GET /twiki/readme.txt HTTP/1.1 "
"38","25.090726632","192.168.56.101","80","192.168.56.102","39294","TCP","4410","7905","37","4344","80  >  39294 [ACK] Seq=3561 Ack=2215 Win=11648 Len=4344 TSval=4294958554 TSecr=2622667020 [TCP segment of a reassembled PDU]"
"39","25.090743987","192.168.56.102","39294","192.168.56.101","80","TCP","66","2215","38","","39294  >  80 [ACK] Seq=2215 Ack=7905 Win=62592 Len=0 TSval=2622667022 TSecr=4294958554"
"40","25.090950774","192.168.56.101","80","192.168.56.102","39294","HTTP","355","8194","","289","HTTP/1.1 200 OK  (text/plain)"
"41","25.090957117","192.168.56.102","39294","192.168.56.101","80","TCP","66","2215","40","","39294  >  80 [ACK] Seq=2215 Ack=8194 Win=64128 Len=0 TSval=2622667022 TSecr=4294958554"
"42","25.666572982","192.168.56.1","137","192.168.56.255","137","NBNS","92","","","","Name query NB WORKGROUP<1d>"
"43","25.666803053","192.168.56.1","137","192.168.56.255","137","NBNS","92","","","","Name query NB WORKGROUP<1d>"
"44","28.602924753","192.168.56.1","57621","192.168.56.255","57621","UDP","86","","","","57621  >  57621 Len=44"
"45","32.831249392","192.168.56.102","39294","192.168.56.101","80","HTTP","447","2596","","381","GET /twiki/license.txt HTTP/1.1 "
"46","32.832668723","192.168.56.101","80","192.168.56.102","39294","TCP","4410","12538","45","4344","80  >  39294 [ACK] Seq=8194 Ack=2596 Win=12864 Len=4344 TSval=4294959328 TSecr=2622674763 [TCP segment of a reassembled PDU]"
"47","32.832688768","192.168.56.102","39294","192.168.56.101","80","TCP","66","2596","46","","39294  >  80 [ACK] Seq=2596 Ack=12538 Win=62592 Len=0 TSval=2622674764 TSecr=4294959328"
"48","32.832910935","192.168.56.101","80","192.168.56.102","39294","TCP","5858","18330","","5792","80  >  39294 [ACK] Seq=12538 Ack=2596 Win=12864 Len=5792 TSval=4294959328 TSecr=2622674764 [TCP segment of a reassembled PDU]"
"49","32.832920371","192.168.56.102","39294","192.168.56.101","80","TCP","66","2596","48","","39294  >  80 [ACK] Seq=2596 Ack=18330 Win=58752 Len=0 TSval=2622674764 TSecr=4294959328"
"50","32.833111640","192.168.56.101","80","192.168.56.102","39294","TCP","7306","25570","","7240","80  >  39294 [ACK] Seq=18330 Ack=2596 Win=12864 Len=7240 TSval=4294959328 TSecr=2622674764 [TCP segment of a reassembled PDU]"
"51","32.833119409","192.168.56.102","39294","192.168.56.101","80","TCP","66","2596","50","","39294  >  80 [ACK] Seq=2596 Ack=25570 Win=53888 Len=0 TSval=2622674764 TSecr=4294959328"
"52","32.833339802","192.168.56.101","80","192.168.56.102","39294","HTTP","2430","27934","","2364","HTTP/1.1 200 OK  (text/plain)"
"53","32.833346734","192.168.56.102","39294","192.168.56.101","80","TCP","66","2596","52","","39294  >  80 [ACK] Seq=2596 Ack=27934 Win=68864 Len=0 TSval=2622674765 TSecr=4294959328"
"54","33.228639966","192.168.56.1","137","192.168.56.255","137","NBNS","92","","","","Name query NB WORKGROUP<1d>"
"55","33.266281813","192.168.56.1","137","192.168.56.255","137","NBNS","92","","","","Name query NB WORKGROUP<1d>"
"56","41.935893727","192.168.56.102","39294","192.168.56.101","80","HTTP","380","2910","","314","GET /p/pub/icn/txt.gif HTTP/1.1 "
"57","41.936349088","192.168.56.102","39296","192.168.56.101","80","TCP","74","1","","","39296  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2622683868 TSecr=0 WS=128"
"58","41.936513625","192.168.56.101","80","192.168.56.102","39294","HTTP","588","28456","56","522","HTTP/1.1 404 Not Found  (text/html)"
"59","41.936528538","192.168.56.102","39294","192.168.56.101","80","TCP","66","2910","58","","39294  >  80 [ACK] Seq=2910 Ack=28456 Win=71808 Len=0 TSval=2622683868 TSecr=4294960239"
"60","41.936665728","192.168.56.101","80","192.168.56.102","39296","TCP","74","1","57","","80  >  39296 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=4294960239 TSecr=2622683868 WS=64"
"61","41.936675988","192.168.56.102","39296","192.168.56.101","80","TCP","66","1","60","","39296  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622683868 TSecr=4294960239"
"62","41.936715569","192.168.56.102","39294","192.168.56.101","80","HTTP","380","3224","","314","GET /p/pub/icn/bmp.gif HTTP/1.1 "
"63","41.937069073","192.168.56.101","80","192.168.56.102","39294","HTTP","588","28978","62","522","HTTP/1.1 404 Not Found  (text/html)"
"64","41.937080030","192.168.56.102","39294","192.168.56.101","80","TCP","66","3224","63","","39294  >  80 [ACK] Seq=3224 Ack=28978 Win=74624 Len=0 TSval=2622683868 TSecr=4294960239"
"65","41.942061565","192.168.56.102","39294","192.168.56.101","80","HTTP","404","3562","","338","GET /p/pub/TWiki/TWikiTemplates/testscreen.gif HTTP/1.1 "
"66","41.942642246","192.168.56.101","80","192.168.56.102","39294","HTTP","612","29524","65","546","HTTP/1.1 404 Not Found  (text/html)"
"67","41.942659159","192.168.56.102","39294","192.168.56.101","80","TCP","66","3562","66","","39294  >  80 [ACK] Seq=3562 Ack=29524 Win=77568 Len=0 TSval=2622683874 TSecr=4294960239"
"68","46.332398859","192.168.56.101","80","192.168.56.102","39296","TCP","74","1","","","[TCP Retransmission] 80  >  39296 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=4294960679 TSecr=2622683868 WS=64"
"69","46.332418206","192.168.56.102","39296","192.168.56.101","80","TCP","66","1","68","","[TCP Dup ACK 61#1] 39296  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622688264 TSecr=4294960239"
"70","46.937291381","192.168.56.102","39296","192.168.56.101","80","TCP","66","2","","","39296  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622688869 TSecr=4294960239"
"71","46.937758263","192.168.56.101","80","192.168.56.102","39296","TCP","66","2","70","","80  >  39296 [FIN, ACK] Seq=1 Ack=2 Win=5824 Len=0 TSval=4294960739 TSecr=2622688869"
"72","46.937772002","192.168.56.102","39296","192.168.56.101","80","TCP","66","2","71","","39296  >  80 [ACK] Seq=2 Ack=2 Win=64256 Len=0 TSval=2622688869 TSecr=4294960739"
"73","52.154493060","192.168.56.102","39294","192.168.56.101","80","TCP","66","3561","","","[TCP Keep-Alive] 39294  >  80 [ACK] Seq=3561 Ack=29524 Win=77568 Len=0 TSval=2622694086 TSecr=4294960239"
"74","52.154934111","192.168.56.101","80","192.168.56.102","39294","TCP","66","29524","","","[TCP Keep-Alive ACK] 80  >  39294 [ACK] Seq=29524 Ack=3562 Win=16576 Len=0 TSval=4294961261 TSecr=2622683874"
"75","56.929882594","192.168.56.101","80","192.168.56.102","39294","TCP","66","29525","","","80  >  39294 [FIN, ACK] Seq=29524 Ack=3562 Win=16576 Len=0 TSval=4294961739 TSecr=2622683874"
"76","56.929983452","192.168.56.102","39294","192.168.56.101","80","TCP","66","3563","75","","39294  >  80 [FIN, ACK] Seq=3562 Ack=29525 Win=77568 Len=0 TSval=2622698861 TSecr=4294961739"
"77","56.930251844","192.168.56.101","80","192.168.56.102","39294","TCP","66","29525","76","","80  >  39294 [ACK] Seq=29525 Ack=3563 Win=16576 Len=0 TSval=4294961739 TSecr=2622698861"
"78","58.607551157","192.168.56.1","57621","192.168.56.255","57621","UDP","86","","","","57621  >  57621 Len=44"
"79","75.028812609","192.168.56.1","5353","224.0.0.251","5353","MDNS","226","","","","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Chrisâ\200\231s MacBook Pro._companion-link._tcp.local"
"80","75.568941602","192.168.56.102","41188","192.168.56.101","21","TCP","74","1","","","41188  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2622717500 TSecr=0 WS=128"
"81","75.569334367","192.168.56.101","21","192.168.56.102","41188","TCP","74","1","80","","21  >  41188 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=4294963603 TSecr=2622717500 WS=64"
"82","75.569356463","192.168.56.102","41188","192.168.56.101","21","TCP","66","1","81","","41188  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622717501 TSecr=4294963603"
"83","75.575490282","192.168.56.101","21","192.168.56.102","41188","FTP","86","21","","20","Response: 220 (vsFTPd 2.3.4)"
"84","75.575509404","192.168.56.102","41188","192.168.56.101","21","TCP","66","1","83","","41188  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=2622717507 TSecr=4294963604"
"85","75.580394969","192.168.56.102","41188","192.168.56.101","21","FTP","82","17","","16","Request: USER anonymous"
"86","75.580788845","192.168.56.101","21","192.168.56.102","41188","TCP","66","21","85","","21  >  41188 [ACK] Seq=21 Ack=17 Win=5824 Len=0 TSval=4294963604 TSecr=2622717512"
"87","75.580788908","192.168.56.101","21","192.168.56.102","41188","FTP","100","55","","34","Response: 331 Please specify the password."
"88","75.580806611","192.168.56.102","41188","192.168.56.101","21","TCP","66","17","87","","41188  >  21 [ACK] Seq=17 Ack=55 Win=64256 Len=0 TSval=2622717512 TSecr=4294963604"
"89","75.581174709","192.168.56.102","41188","192.168.56.101","21","FTP","92","43","","26","Request: PASS mozilla@example.com"
"90","75.582534192","192.168.56.101","21","192.168.56.102","41188","FTP","89","78","89","23","Response: 230 Login successful."
"91","75.582543860","192.168.56.102","41188","192.168.56.101","21","TCP","66","43","90","","41188  >  21 [ACK] Seq=43 Ack=78 Win=64256 Len=0 TSval=2622717514 TSecr=4294963604"
"92","75.582731953","192.168.56.102","41188","192.168.56.101","21","FTP","72","49","","6","Request: SYST"
"93","75.583030095","192.168.56.101","21","192.168.56.102","41188","FTP","85","97","92","19","Response: 215 UNIX Type: L8"
"94","75.583038503","192.168.56.102","41188","192.168.56.101","21","TCP","66","49","93","","41188  >  21 [ACK] Seq=49 Ack=97 Win=64256 Len=0 TSval=2622717514 TSecr=4294963604"
"95","75.583184098","192.168.56.102","41188","192.168.56.101","21","FTP","72","55","","6","Request: FEAT"
"96","75.583442879","192.168.56.101","21","192.168.56.102","41188","FTP","81","112","95","15","Response: 211-Features:"
"97","75.583442925","192.168.56.101","21","192.168.56.102","41188","FTP","73","119","","22","Response:  EPRT"
"98","75.583442963","192.168.56.101","21","192.168.56.102","41188","FTP","73","126","","29","Response:  EPSV"
"99","75.583452042","192.168.56.102","41188","192.168.56.101","21","TCP","66","55","96","","41188  >  21 [ACK] Seq=55 Ack=112 Win=64256 Len=0 TSval=2622717515 TSecr=4294963604"
"100","75.583464620","192.168.56.102","41188","192.168.56.101","21","TCP","66","55","97","","41188  >  21 [ACK] Seq=55 Ack=119 Win=64256 Len=0 TSval=2622717515 TSecr=4294963604"
"101","75.583476537","192.168.56.102","41188","192.168.56.101","21","TCP","66","55","98","","41188  >  21 [ACK] Seq=55 Ack=126 Win=64256 Len=0 TSval=2622717515 TSecr=4294963604"
"102","75.583716434","192.168.56.101","21","192.168.56.102","41188","FTP","124","184","","58","Response:  MDTM"
"103","75.583722731","192.168.56.102","41188","192.168.56.101","21","TCP","66","55","102","","41188  >  21 [ACK] Seq=55 Ack=184 Win=64256 Len=0 TSval=2622717515 TSecr=4294963604"
"104","75.583860775","192.168.56.102","41188","192.168.56.101","21","FTP","80","69","","14","Request: OPTS UTF8 ON"
"105","75.584113360","192.168.56.101","21","192.168.56.102","41188","FTP","92","210","104","26","Response: 200 Always in UTF8 mode."
"106","75.584122474","192.168.56.102","41188","192.168.56.101","21","TCP","66","69","105","","41188  >  21 [ACK] Seq=69 Ack=210 Win=64256 Len=0 TSval=2622717515 TSecr=4294963604"
"107","75.584282522","192.168.56.102","41188","192.168.56.101","21","FTP","71","74","","5","Request: PWD"
"108","75.584506630","192.168.56.101","21","192.168.56.102","41188","FTP","75","219","107","9","Response: 257 ""/"""
"109","75.584515294","192.168.56.102","41188","192.168.56.101","21","TCP","66","74","108","","41188  >  21 [ACK] Seq=74 Ack=219 Win=64256 Len=0 TSval=2622717516 TSecr=4294963604"
"110","75.584672277","192.168.56.102","41188","192.168.56.101","21","FTP","74","82","","8","Request: TYPE I"
"111","75.584847700","192.168.56.101","21","192.168.56.102","41188","FTP","97","250","110","31","Response: 200 Switching to Binary mode."
"112","75.584874951","192.168.56.102","41188","192.168.56.101","21","TCP","66","82","111","","41188  >  21 [ACK] Seq=82 Ack=250 Win=64256 Len=0 TSval=2622717516 TSecr=4294963604"
"113","75.585024434","192.168.56.102","41188","192.168.56.101","21","FTP","72","88","","6","Request: PASV"
"114","75.585267342","192.168.56.101","21","192.168.56.102","41188","FTP","118","302","113","52","Response: 227 Entering Passive Mode (192,168,56,101,242,95)."
"115","75.585298258","192.168.56.102","41188","192.168.56.101","21","TCP","66","88","114","","41188  >  21 [ACK] Seq=88 Ack=302 Win=64256 Len=0 TSval=2622717517 TSecr=4294963605"
"116","75.585524757","192.168.56.102","50654","192.168.56.101","62047","TCP","74","1","","","50654  >  62047 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2622717517 TSecr=0 WS=128"
"117","75.585627703","192.168.56.102","41188","192.168.56.101","21","FTP","73","95","","7","Request: CWD /"
"118","75.585702621","192.168.56.101","62047","192.168.56.102","50654","TCP","74","1","116","","62047  >  50654 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=4294963605 TSecr=2622717517 WS=64"
"119","75.585713293","192.168.56.102","50654","192.168.56.101","62047","TCP","66","1","118","","50654  >  62047 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622717517 TSecr=4294963605"
"120","75.585788744","192.168.56.101","21","192.168.56.102","41188","FTP","103","339","117","37","Response: 250 Directory successfully changed."
"121","75.585811110","192.168.56.102","41188","192.168.56.101","21","TCP","66","95","120","","41188  >  21 [ACK] Seq=95 Ack=339 Win=64256 Len=0 TSval=2622717517 TSecr=4294963605"
"122","75.586050781","192.168.56.102","41188","192.168.56.101","21","FTP","72","101","","6","Request: LIST"
"123","75.586309507","192.168.56.101","21","192.168.56.102","41188","FTP","105","378","122","39","Response: 150 Here comes the directory listing."
"124","75.586309565","192.168.56.101","21","192.168.56.102","41188","FTP","90","402","","63","Response: 226 Directory send OK."
"125","75.586338091","192.168.56.102","41188","192.168.56.101","21","TCP","66","101","124","","41188  >  21 [ACK] Seq=101 Ack=402 Win=64256 Len=0 TSval=2622717518 TSecr=4294963605"
"126","75.586473179","192.168.56.101","62047","192.168.56.102","50654","TCP","66","2","","","62047  >  50654 [FIN, ACK] Seq=1 Ack=1 Win=5824 Len=0 TSval=4294963605 TSecr=2622717517"
"127","75.586506648","192.168.56.102","50654","192.168.56.101","62047","TCP","66","2","126","","50654  >  62047 [FIN, ACK] Seq=1 Ack=2 Win=64256 Len=0 TSval=2622717518 TSecr=4294963605"
"128","75.586606225","192.168.56.101","62047","192.168.56.102","50654","TCP","66","2","127","","62047  >  50654 [ACK] Seq=2 Ack=2 Win=5824 Len=0 TSval=4294963605 TSecr=2622717518"
"129","76.037403213","192.168.56.1","5353","224.0.0.251","5353","MDNS","226","","","","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Chrisâ\200\231s MacBook Pro._companion-link._tcp.local"
"130","78.041866657","192.168.56.1","5353","224.0.0.251","5353","MDNS","226","","","","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Chrisâ\200\231s MacBook Pro._companion-link._tcp.local"
"131","80.524016083","192.168.56.102","41188","192.168.56.101","21","FTP","72","107","","6","Request: PASV"
"132","80.524431831","192.168.56.101","21","192.168.56.102","41188","FTP","119","455","131","53","Response: 227 Entering Passive Mode (192,168,56,101,170,209)."
"133","80.524444108","192.168.56.102","41188","192.168.56.101","21","TCP","66","107","132","","41188  >  21 [ACK] Seq=107 Ack=455 Win=64256 Len=0 TSval=2622722456 TSecr=4294964099"
"134","80.524732624","192.168.56.102","48434","192.168.56.101","43729","TCP","74","1","","","48434  >  43729 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2622722456 TSecr=0 WS=128"
"135","80.524835264","192.168.56.102","41188","192.168.56.101","21","FTP","76","117","","10","Request: CWD /../"
"136","80.524933966","192.168.56.101","43729","192.168.56.102","48434","TCP","74","1","134","","43729  >  48434 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=4294964099 TSecr=2622722456 WS=64"
"137","80.524944919","192.168.56.102","48434","192.168.56.101","43729","TCP","66","1","136","","48434  >  43729 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622722456 TSecr=4294964099"
"138","80.525069287","192.168.56.101","21","192.168.56.102","41188","FTP","103","492","135","37","Response: 250 Directory successfully changed."
"139","80.525074873","192.168.56.102","41188","192.168.56.101","21","TCP","66","117","138","","41188  >  21 [ACK] Seq=117 Ack=492 Win=64256 Len=0 TSval=2622722456 TSecr=4294964099"
"140","80.525248352","192.168.56.102","41188","192.168.56.101","21","FTP","72","123","","6","Request: LIST"
"141","80.525491013","192.168.56.101","21","192.168.56.102","41188","FTP","105","531","140","39","Response: 150 Here comes the directory listing."
"142","80.525491061","192.168.56.101","21","192.168.56.102","41188","FTP","90","555","","63","Response: 226 Directory send OK."
"143","80.525491095","192.168.56.101","43729","192.168.56.102","48434","TCP","66","2","","","43729  >  48434 [FIN, ACK] Seq=1 Ack=1 Win=5824 Len=0 TSval=4294964099 TSecr=2622722456"
"144","80.525499226","192.168.56.102","41188","192.168.56.101","21","TCP","66","123","141","","41188  >  21 [ACK] Seq=123 Ack=531 Win=64256 Len=0 TSval=2622722457 TSecr=4294964099"
"145","80.525511985","192.168.56.102","41188","192.168.56.101","21","TCP","66","123","142","","41188  >  21 [ACK] Seq=123 Ack=555 Win=64256 Len=0 TSval=2622722457 TSecr=4294964099"
"146","80.525603110","192.168.56.102","48434","192.168.56.101","43729","TCP","66","2","143","","48434  >  43729 [FIN, ACK] Seq=1 Ack=2 Win=64256 Len=0 TSval=2622722457 TSecr=4294964099"
"147","80.525818356","192.168.56.101","43729","192.168.56.102","48434","TCP","66","2","146","","43729  >  48434 [ACK] Seq=2 Ack=2 Win=5824 Len=0 TSval=4294964099 TSecr=2622722457"
"148","82.045382227","192.168.56.1","5353","224.0.0.251","5353","MDNS","226","","","","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Chrisâ\200\231s MacBook Pro._companion-link._tcp.local"
"149","82.054177797","192.168.56.102","41188","192.168.56.101","21","FTP","72","129","","6","Request: PASV"
"150","82.054534730","192.168.56.101","21","192.168.56.102","41188","FTP","119","608","149","53","Response: 227 Entering Passive Mode (192,168,56,101,181,202)."
"151","82.054547343","192.168.56.102","41188","192.168.56.101","21","TCP","66","129","150","","41188  >  21 [ACK] Seq=129 Ack=608 Win=64256 Len=0 TSval=2622723986 TSecr=4294964252"
"152","82.060179997","192.168.56.102","50004","192.168.56.101","46538","TCP","74","1","","","50004  >  46538 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2622723992 TSecr=0 WS=128"
"153","82.060364065","192.168.56.102","41188","192.168.56.101","21","FTP","79","142","","13","Request: CWD /../../"
"154","82.060541510","192.168.56.101","46538","192.168.56.102","50004","TCP","74","1","152","","46538  >  50004 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=4294964252 TSecr=2622723992 WS=64"
"155","82.060677330","192.168.56.102","50004","192.168.56.101","46538","TCP","66","1","154","","50004  >  46538 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622723992 TSecr=4294964252"
"156","82.060884485","192.168.56.101","21","192.168.56.102","41188","FTP","103","645","153","37","Response: 250 Directory successfully changed."
"157","82.061299601","192.168.56.102","41188","192.168.56.101","21","FTP","72","148","156","6","Request: LIST"
"158","82.061729069","192.168.56.101","21","192.168.56.102","41188","FTP","105","684","157","39","Response: 150 Here comes the directory listing."
"159","82.061729123","192.168.56.101","21","192.168.56.102","41188","FTP","90","708","","63","Response: 226 Directory send OK."
"160","82.061729151","192.168.56.101","46538","192.168.56.102","50004","TCP","66","2","","","46538  >  50004 [FIN, ACK] Seq=1 Ack=1 Win=5824 Len=0 TSval=4294964252 TSecr=2622723992"
"161","82.061766851","192.168.56.102","41188","192.168.56.101","21","TCP","66","148","159","","41188  >  21 [ACK] Seq=148 Ack=708 Win=64256 Len=0 TSval=2622723993 TSecr=4294964252"
"162","82.061800305","192.168.56.102","50004","192.168.56.101","46538","TCP","66","2","160","","50004  >  46538 [FIN, ACK] Seq=1 Ack=2 Win=64256 Len=0 TSval=2622723993 TSecr=4294964252"
"163","82.062189051","192.168.56.101","46538","192.168.56.102","50004","TCP","66","2","162","","46538  >  50004 [ACK] Seq=2 Ack=2 Win=5824 Len=0 TSval=4294964252 TSecr=2622723993"
"164","83.378249312","192.168.56.102","41188","192.168.56.101","21","FTP","72","154","","6","Request: PASV"
"165","83.378565748","192.168.56.101","21","192.168.56.102","41188","FTP","118","760","164","52","Response: 227 Entering Passive Mode (192,168,56,101,160,75)."
"166","83.378737663","192.168.56.102","52028","192.168.56.101","41035","TCP","74","1","","","52028  >  41035 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2622725310 TSecr=0 WS=128"
